video_id,teks,teks_stem,skor_total,skor_positif,skor_negatif,n_kata_pos,n_kata_neg,label_otomatis,label_final
czY6MUhd1X0,Ijazah gak pernah ditunjukkan maunya mempenjarakan org2. Para pembela Jokowi kebanyakan ngumpul dg para pembohong dlm lingkup raja bohong 😢😢,ijazah mau penjara bela jokowi banyak ngumpul bohong lingkup raja bohong,-23.0,0.0,-23.0,0.0,6.0,Negatif,Negatif
czY6MUhd1X0,Ijazahnya itu cuma tempelan foto. Jadi kalo ditunjukkan langsung kelihatan palsunya...,ijazah tempel foto kalo palsu,3.0,3.0,0.0,1.0,0.0,Positif,Positif
czY6MUhd1X0,"Media harus berterimakasih pada roy suryo, karena dia lah media tidak pernah berhenti siaran",media berterimakasih roy suryo media henti siar,-4.0,0.0,-4.0,0.0,1.0,Negatif,Negatif
czY6MUhd1X0,"Salam Bahagia 😊 
Kalau itu kebenaran tunjukkan bahwa itu kebenaran tapi kalau itu kecurangan tunjukkan juga kalau itu kecurangan 🤲",bahagia benar tunjuk benar curang tunjuk curang,-19.0,0.0,-19.0,0.0,5.0,Negatif,Negatif
czY6MUhd1X0,Betul semangat bang Rai👍👍👍💪💪💪♥️,semangat rai,-1.0,0.0,-1.0,0.0,1.0,Negatif,Negatif
czY6MUhd1X0,UGM tidak pernah mengatakan ijasah yg digunakan jkw adalah Asli. UGM hanya mengatakan telah menyerahkan ijasah asli ke jkw sesuai haknya. Bisa jadi antara ijasah yg diberikan UGM itu berbeda dgn yg digunakan Jkw di KPU.,ugm ijazah jokowi asli ugm serah ijazah asli jokowi sesuai hak ijazah ugm beda jokowi kpu,2.0,7.0,-5.0,3.0,2.0,Positif,Positif
czY6MUhd1X0,Sepintar Pintar nya orang menyembunyikan kebohongan akan terungkap juga nnti lah kenpa pulak orang meminjam kan ijazah nya nti Bisa disalahgunakan,pintar pintar sembunyi bohong ungkap kenpa pinjam ijazah disalahgunakan,-8.0,0.0,-8.0,0.0,2.0,Negatif,Negatif
czY6MUhd1X0,Kenapa GK dari awal ditunjukkan..SDH buat gaduh selama ini ....penjarakan Petruk,gaduh penjara truk,-4.0,0.0,-4.0,0.0,1.0,Negatif,Negatif
czY6MUhd1X0,Palsunya di wajah nya gilaaaaaa 😅😅😅😅😅😅😅,palsu wajah gila,-5.0,0.0,-5.0,0.0,1.0,Negatif,Negatif
czY6MUhd1X0,"SELURUH RAKYAT❤ INDONESIA  MENJADI SAKSI  ,  MENDUKUNG  :  PERJUANGAN ROY SURYO  .",rakyat indonesia saksi dukung juang roy suryo,2.0,5.0,-3.0,2.0,1.0,Positif,Positif
czY6MUhd1X0,"Hukum harus di tegakkan , para Pembikin gaduh harus di hukum berat,  terutama yg jadi dalang harus di buka terang benderang hukum mati",hukum tegak bikin gaduh hukum berat dalang buka terang benderang hukum mati,-26.0,0.0,-26.0,0.0,8.0,Negatif,Negatif
czY6MUhd1X0,Karena pilih jalan yang ruwet maka ijazahnya di ragukan,pilih jalan ruwet ijazah ragu,-9.0,0.0,-9.0,0.0,3.0,Negatif,Negatif
czY6MUhd1X0,"org awam aj tau fhoto yg d ijazah itu bkn fhoto jokowi,",awam tau foto ijazah foto jokowi,2.0,6.0,-4.0,2.0,1.0,Positif,Positif
czY6MUhd1X0,BETUL PAK RAY... KALO.IJAZAH ADA PASTI SDH DITUNJUKKKAN SEDARI DULU DAN TAK PERLU PENGADILAN 😅😅😅... TERMASUK SAYA TIDAK PERCAYA KALO.JOKOWI PNY IJAZAH ASLI UGM 😅😅😅,ray kalo ijazah ditunjukkkan dar adil percaya kalo jokowi ijazah asli ugm,1.0,4.0,-3.0,2.0,1.0,Positif,Positif
czY6MUhd1X0,Kalau asli kenapa foto nya berbeda,asli foto beda,3.0,5.0,-2.0,2.0,1.0,Positif,Positif
czY6MUhd1X0,"lucu ya yang dipegangnya tak berjaassssssss legalisir, yang di monitor ketua masa ga kaget Mulyono berjaasssss sendiri 😂😂😂",lucu pegang berjaassssssss legalisir monitor ketua kaget mulyono berjaasssss,-7.0,0.0,-7.0,0.0,3.0,Negatif,Negatif
czY6MUhd1X0,"ingin buka nya di pengadilan preeetttt lah, hadir di pengadilan pun ga pernah😅",buka adil preeetttt hadir adil,-12.0,0.0,-12.0,0.0,4.0,Negatif,Negatif
czY6MUhd1X0,Sepertinya penyidik itu mendengar saran2 dan masukan dr termul,sidik dengar saran masuk termul,-4.0,2.0,-6.0,1.0,2.0,Negatif,Negatif
czY6MUhd1X0,teruskan sampai pengadilan.biar jelas terang benderang.. Jokowi ❤,terus adil biar terang benderang jokowi,-12.0,0.0,-12.0,0.0,4.0,Negatif,Negatif
czY6MUhd1X0,"buktikan di pengadilan, itu baru fair, bertarung di pengadilan",bukti adil fair tarung adil,-9.0,3.0,-12.0,1.0,4.0,Negatif,Negatif
czY6MUhd1X0,"Di solo tidak mau menunjukkan ijazahnya walaupun diminta oleh hakim.
Kebohongan akan selalu ditutupi kebohongan baru.",solo ijazah hakim bohong tutup bohong,-10.0,2.0,-12.0,1.0,3.0,Negatif,Negatif
czY6MUhd1X0,"Klu memang aslinya ijasa  sekarang baru diperlihatkan dipengadilan dan baru diuji keasliannya  sekarang oleh pihak kepolisian,kenapa Bambang Tri dan gusnur dipenjara dulu,memang aneh hukum dinegara ini",asli ijasa adil uji asli polisi bambang tri gusnur penjara aneh hukum negara,-9.0,5.0,-14.0,3.0,4.0,Negatif,Negatif
czY6MUhd1X0,Di pengadilan WAJIB DI TUNJUKAN.,adil wajib tunjuk,-5.0,0.0,-5.0,0.0,2.0,Negatif,Negatif
czY6MUhd1X0,Ga ada Polri sebut authentic.. Polri sebut identic,polri authentic polri identic,0.0,0.0,0.0,0.0,0.0,Netral,Netral
czY6MUhd1X0,"Seperti nya polisi sdh mempersiapkan strategi jika jakarta cheos... masalah sepele spt ini dibikin rumit,, pejabat polri beranggapan rakyat bisa dibodohi termasuk ahli hukum dan intelektual lain nya...luar biasa polisi ikut dlm berpolitik senyap",polisi strategi jakarta cheos sepele bikin rumit jabat polri anggap rakyat bodoh ahli hukum intelektual polisi politik senyap,-17.0,3.0,-20.0,1.0,6.0,Negatif,Negatif
czY6MUhd1X0,"Kalau asli, pasti sudah dari dahulu ditunjukkan dg bangga ke publik. Apalagi Ijazah UGM. 
Kalau begini keyakinan publik makin yakin ada kepalsuannya",asli bangga publik ijazah ugm yakin publik palsu,8.0,8.0,0.0,3.0,0.0,Positif,Positif
czY6MUhd1X0,Yaa allah azab lah orang yg suka bohong membela orang yg salah,allah azab suka bohong bela salah,-10.0,5.0,-15.0,1.0,4.0,Negatif,Negatif
czY6MUhd1X0,"Yg satu di cetak di percetakan negara yg satu di cetak di pasar pramuka.
😂😅😂",cetak cetak negara cetak pasar pramuka,0.0,0.0,0.0,0.0,0.0,Netral,Netral
czY6MUhd1X0,"Aneh sekali, sampai se jauh ini kasus ijazah sampai rame jadi pecah bangsa, apa sich susahnya tunjukkin ijazahnya... Saya kira beres dan kalau ada dan asli santai saja menyikapinya...",aneh ijazah rame pecah bangsa susah tunjukkin ijazah beres asli santai sikap,-3.0,6.0,-9.0,3.0,3.0,Negatif,Negatif
czY6MUhd1X0,negara lain sudah membuat rudal jelajah indonesia ribut ijasah,negara rudal jelajah indonesia ribut ijazah,-4.0,0.0,-4.0,0.0,1.0,Negatif,Negatif
czY6MUhd1X0,Semoga siapapun yg bohong terbongkar terbukti. Dan bgtu jga semoga kebenaran cepat terbuktikan. Siapapun mereka. Aamiin.,moga bohong bongkar bukti moga benar cepat bukti,-19.0,2.0,-21.0,2.0,6.0,Negatif,Negatif
czY6MUhd1X0,"Sumpah muak sekali dengan ijasah palsu ini
Gk pernah bisa Selese 
Ini juga kasus kecil tentang ijasah kenapa mesti Sampek bertahun²
Lu tunjukkan saja yg aslinya biar di cek bareng² 
Tim Bareskrim, tim Roy 
Dan masyarakat 
Para ahli... Ayolah pak Jokowi tunjukkan ijasahnya biar Indonesia tidak berlarut-larut",sumpah muak ijazah palsu selese ijazah mesti tahun lu tunjuk asli biar cek bareng tim bareskrim tim roy masyarakat ahli ayo jokowi tunjuk ijasahnya biar indonesia larut larut,-36.0,6.0,-42.0,2.0,11.0,Negatif,Negatif
czY6MUhd1X0,"Kenapa negara mewjibkan bersama ijazah waktu mendaftar calon presiden, kalau akhirnya gak boleh lihat,",negara mewjibkan ijazah waktu daftar calon presiden,0.0,3.0,-3.0,1.0,1.0,Netral,Netral
czY6MUhd1X0,"Rakyat biar percaya IJAZAH JOKOWI WAJIB di tampil kan ke publik pak biar cepat selesai 
😂😂🎉❤🎉😂😂",rakyat biar percaya ijazah jokowi wajib tampil publik biar cepat selesai,-16.0,2.0,-18.0,1.0,6.0,Negatif,Negatif
czY6MUhd1X0,"2017
Yg pertama sy ingin menyampaikan penghargaan yg setinggi tingginya kpd DOSEN PEMBIMBING sy bpk KASMUDJO. Dulu beliau tuh waktu membimbing sy seinget sy galak sekali sy masih inget galak sekali tp skrg sy melihat beliau sangat bijak sekali sdh berubah sy ngga tau yg berubah sy atau yg berubah pak KASMUDJO , sy mengacungkan banyak trm ksh krn bimbingan bpk di jurusan TEKNOLOGI KAYU sy bisa menyelesaikan SKRIPSI sy. Sy juga udh lupa bolak baliknya brp kali, begitu maju dibentak balik begitu maju dibentak galak sekali tp skrg alhamdulilah atas bimbingan pak KASMUDJO skripsi sy jadi.
2025 
Dosen pembimbing sy bpk Prof Ir Soemitro, pak Kasmudjo itu dosen akademik sy.
FAKTA : Kasmudjo hanya asisten dosen.
Tidak ada orang yang memiliki ingatan yang cukup baik untuk menjadi *PEMBOHONG* yang sukses",harga tinggi dosen bimbing bpk kasmudjo beliau tuh waktu bimbing seinget galak galak beliau bijak ubah tau ubah ubah kasmudjo acung trm kasih bimbing bpk jurus teknologi kayu selesai skripsi lupa bolak balik maju bentak maju bentak galak alhamdulilah bimbing kasmudjo skripsi dosen bimbing bpk prof ir soemitro kasmudjo dosen akademik fakta kasmudjo asisten dosen milik ingat bohong sukses,-47.0,10.0,-57.0,4.0,17.0,Negatif,Negatif
czY6MUhd1X0,"BAPAK SAMA ANAK SAMA AJA..

MEREKA NUNGGU RAKYAT INDONESIA MARAH",anak tunggu rakyat indonesia marah,-10.0,0.0,-10.0,0.0,3.0,Negatif,Negatif
czY6MUhd1X0,"Sigit yg katanya temenya Jokowi aj ngasih scan ijazah asli , Jokowi sama sekali ga nunjukin ap2... Parah Jokowi.",sigit temenya jokowi asih scan ijazah asli jokowi nunjukin parah jokowi,-4.0,2.0,-6.0,1.0,2.0,Negatif,Negatif
czY6MUhd1X0,Intknya kita masarakat di giring buat percaya kepolisian oleh termul..,intknya masarakat giring percaya polisi termul,2.0,2.0,0.0,1.0,0.0,Positif,Positif
czY6MUhd1X0,Semua akan diminta pertanggung jawaban kelak di Yaumil akhir ...dihadapan Allah sdh tdk bisa berbohong lg,tanggung kelak yaumil hadap allah bohong,-2.0,5.0,-7.0,1.0,2.0,Negatif,Negatif
czY6MUhd1X0,Andy azwan suneo ini tambah gilakkk gw liat...   😂😂😂😂😂,andy azwan suneo gila gue,-5.0,0.0,-5.0,0.0,1.0,Negatif,Negatif
czY6MUhd1X0,"Kalo udah ribet pasti ada apa2.. 
Klo ada ijazah asli ya tunjukkan aja, 
Kebohongan sudah terlalu banyak,jadi wajar org mencurigai kebohongan nya,mobil Esemka,stop impor.. Mana..",kalo ribet kalo ijazah asli tunjuk bohong wajar curiga bohong mobil esemka stop impor,-23.0,3.0,-26.0,2.0,6.0,Negatif,Negatif
czY6MUhd1X0,"Klo menurut saya mau asli atau tidak, 
Saya gk mau tau  yg penting  saya tamat selesai mendapat ijazah dari UGM
Karena itu tangung jawab retor. Dekan, dosen UGM, 
KARENA mahasiswa manapun tidak  pernah mengecek ijazah yg di berikannya
Asli  atau palsu,. Itu wewenang Universitas.",kalo asli tau tamat selesai ijazah ugm tangung retor dekan dosen ugm mahasiswa mana ecek ijazah beri asli palsu wewenang universitas,-8.0,6.0,-14.0,3.0,4.0,Negatif,Negatif
czY6MUhd1X0,"GINI COBA SI TERMUL DITANYA YG DIPERIKSA OLEH POLISI TUH , KERTAS IJASAH ASLI ATAU CUMA SEKEDAR FOTOKOPI",coba termul periksa polisi tuh kertas ijazah asli dar fotokopi,-4.0,2.0,-6.0,1.0,2.0,Negatif,Negatif
czY6MUhd1X0,"Semakin lama... Semakin ada waktu buat mereka memanipulasi ijasah palsu itu menjadi asli... Harus cepat jangan di lambat lambat... Semakin lama semakin hilang barang bukti 

Harap waspada......",waktu manipulasi ijazah palsu asli cepat lambat lambat hilang barang bukti harap waspada,-12.0,4.0,-16.0,3.0,5.0,Negatif,Negatif
czY6MUhd1X0,Dapet berapa M supaya bilang ASLI ??? Hahahaha.... perilaku Termul,bilang asli hahahaha perilaku termul,4.0,4.0,0.0,2.0,0.0,Positif,Positif
czY6MUhd1X0,Tunjukin ijazahnya,tunjuk ijazah,0.0,0.0,0.0,0.0,0.0,Netral,Netral
czY6MUhd1X0,"Kumisnya bisa ilang dan kacamatanya juga ilang...
Sangat mengerikan",kumis hilang kacamata hilang keri,-12.0,0.0,-12.0,0.0,3.0,Negatif,Negatif
czY6MUhd1X0,Syukurlah banyak pengacara ikut bantu Pak Roy CS. Termasuk Pak Deny indrayana juga akan ikut bantu Roy CS.,syukur acara bantu roy cs deny indrayana bantu roy cs,-3.0,5.0,-8.0,1.0,2.0,Negatif,Negatif
czY6MUhd1X0,"Tolong di cek nya jangan di mabes polri, sdh tidak percaya yg namanya Institusi polisi",tolong cek mabes polri percaya nama institusi polisi,-4.0,2.0,-6.0,1.0,2.0,Negatif,Negatif
czY6MUhd1X0,Selamat buat bung Ray🌹👍kupas telisik dalam pak..sampai k akar-2nya biar buat jelas masyarakat indonesia..🙏terima kasih bung Ray,selamat ray kupas tisik akar biar masyarakat indonesia terima kasih ray,0.0,7.0,-7.0,2.0,3.0,Netral,Netral
czY6MUhd1X0,Saya lebih percaya ROY SURYO  krn ngapain di pengadilan tdak dibawa  diperlihatkan,percaya roy suryo kapai adil bawa,-4.0,2.0,-6.0,1.0,2.0,Negatif,Negatif
czY6MUhd1X0,Argumen Roy itu bukan bertambah ...tapi diulang ulang saja sama si Roy itu..,argumen roy tambah ulang ulang roy,-1.0,3.0,-4.0,1.0,1.0,Negatif,Negatif
czY6MUhd1X0,Yg penting tunjukkan ijasah Jokowi didepan Roy Suryo cs dan semoga pakar hukum,tunjuk ijazah jokowi depan roy suryo cs moga pakar hukum,-3.0,1.0,-4.0,1.0,2.0,Negatif,Negatif
czY6MUhd1X0,Jokowi akan menunjukkan ijazah aslinya dipengadilan ..lho bukannya ijazah sudah di sita Polda ? Kepengadilan maka ijazah akan ditangan jaksa dan menjadi domain jaksa ..trus kenapa harus nunggu Jokowi yg nunjukin ? Itupun katanya jika diminta hakim ??? Bukannya itu jadi barang bukti ?? Ini gimna sih 😅 koq akal sehat gw jadi sakit ya?,jokowi ijazah asli adil lho ijazah sita polda adil ijazah tang jaksa domain jaksa tunggu jokowi nunjukin itu hakim barang bukti akal sehat gue sakit,-17.0,2.0,-19.0,1.0,7.0,Negatif,Negatif
czY6MUhd1X0,"Menurut YLBHI, Jokowi layak disebut pemimpin korup, pelanggar hukum dan HAM terorganisir, faktor pendukungnya, yaitu : 1. Pelemahan KPK 2. Revisi UU Minerba untungkan Oligarki  3. Cipta Kerja Inkonstitusional Bersyarat  4. Badan Usaha Milik Negara diubah jadi Badan Usaha Milik Relawan 5. Represi dan Kriminalisasi 6. Proyek Strategis Nasional Merampas ruang hidup rakyat 7. Meritokrasi Hancur & KKN tumbuh subur - Kabinet & BUMN dipenuhi tim sukses - relawan Jokowi.🤔",ylbhi jokowi layak pimpin korup langgar hukum ham organisir faktor dukung lemah kpk revisi uu minerba untung oligarki cipta inkonstitusional syarat badan usaha milik negara ubah badan usaha milik rawan represi kriminalisasi proyek strategis nasional rampas ruang hidup rakyat meritokrasi hancur kkn tumbuh subur kabinet bumn penuh tim sukses rawan jokowi,-57.0,11.0,-68.0,5.0,18.0,Negatif,Negatif
czY6MUhd1X0,"Ijazahnya benar2 asli BOHONGNYA,.. Yaaakan AZWAN...",ijazah asli bohong yaaakan azwan,-3.0,2.0,-5.0,1.0,1.0,Negatif,Negatif
czY6MUhd1X0,Ray Rangkuti terima jasa komentar,ray rangkut terima jasa komentar,6.0,6.0,0.0,2.0,0.0,Positif,Positif
czY6MUhd1X0,"Hahaaaaa aku orang kecil kok ketawa terus,,biasanya orang yang ngotot2 itu sedang panik takut😅😅😂😂",hahaaaaa ketawa ngotot panik takut,-8.0,4.0,-12.0,1.0,3.0,Negatif,Negatif
czY6MUhd1X0,Termul kocak😮,termul kocak,-2.0,0.0,-2.0,0.0,1.0,Negatif,Negatif
czY6MUhd1X0,"Lucu sewaktu kecil pakai kacamata, gigi rapi. Sudah dewasa gigi berantakan",lucu pakai kacamata gigi rapi dewasa gigi beranta,-2.0,2.0,-4.0,1.0,2.0,Negatif,Negatif
czY6MUhd1X0,Nanti nanti di pengadilan.. tinggal tunjukkan yang asli,adil tinggal tunjuk asli,-4.0,2.0,-6.0,1.0,2.0,Negatif,Negatif
czY6MUhd1X0,Bang ray ijazah jokowinya belum mateng masih di imbu kya pisang mentah belum mateng makanya 1 tahun belum keliatan itu barang 😊,ray ijazah jokowinya mateng imbu kaya pisang mentah mateng tahun barang,-2.0,0.0,-2.0,0.0,1.0,Negatif,Negatif
czY6MUhd1X0,"Jika punya ijazah tinggal ditunjukkan saja tidak usah nyewa Pengacara Termul ,Nyewa Termul Preman dari Kepolisian.",ijazah tinggal nyewa acara termul nyewa termul preman polisi,-3.0,0.0,-3.0,0.0,1.0,Negatif,Negatif
czY6MUhd1X0,"Lebih percaya ma Roy Suryo daripada polisi, 😂😂",percaya roy suryo polisi,2.0,2.0,0.0,1.0,0.0,Positif,Positif
czY6MUhd1X0,"Lah difoto masih bisa di manipulasi. Tunjukkan fisik ijazahnya di persidangan.
Next gibran suruh tunjukkan ijazah aslinya. KPU memang gampang disuap buat nerima ijazah palsu",foto manipulasi tunjuk fisik ijazah sidang next gibran suruh tunjuk ijazah asli kpu gampang suap terima ijazah palsu,-6.0,7.0,-13.0,3.0,5.0,Negatif,Negatif
czY6MUhd1X0,"Yang di permasalah kan ijazah jokowi, malah bawa ijazah orang lain, termul kocak",masa ijazah jokowi bawa ijazah termul kocak,-5.0,0.0,-5.0,0.0,2.0,Negatif,Negatif
czY6MUhd1X0,"Perlunya penegak hukum yang cerdas dan pemberani, tegakkan keadilan tanpa pandang bulu.
Perlunya pemimpin berjiwa besar dan kesatria, tidak hanya senang disanjung, tetapi berani mengakui kesalahannya. 
Ayo ijazah Jokowi digelar dengan seadil-adilnya. Jangan pengecut.",tegak hukum cerdas berani tegak adil pandang bulu pimpin jiwa kesatria senang sanjung berani aku salah ayo ijazah jokowi gelar adil adil kecut,-14.0,11.0,-25.0,5.0,8.0,Negatif,Negatif
czY6MUhd1X0,termul lagi ngelawak dia tunjukkan ijazah Jokowi ga jelas giliran nunjukin ijasa orang lain malah jelas banget 😂,termul lawak tunjuk ijazah jokowi gilir nunjukin ijasa banget,1.0,1.0,0.0,1.0,0.0,Positif,Positif
czY6MUhd1X0,Tetap dukung pak Jokowi itulah akal sehat dan waras,dukung jokowi akal sehat waras,0.0,4.0,-4.0,1.0,2.0,Netral,Netral
czY6MUhd1X0,Allah SWT pasti akan membuka kebeneran ini,allah swt buka kebeneran,2.0,5.0,-3.0,1.0,1.0,Positif,Positif
czY6MUhd1X0,"Permainan sudah semakin terang, roy suryo cs akan jadi pemenang... Ijazah palsu makin terpojok❤❤❤",main terang roy suryo cs menang ijazah palsu pojok,-13.0,0.0,-13.0,0.0,4.0,Negatif,Negatif
czY6MUhd1X0,Kayaknya duit jokowi akan di kuras  sama termul termul ini,kayak duit jokowi kuras termul termul,-3.0,0.0,-3.0,0.0,1.0,Negatif,Negatif
czY6MUhd1X0,"Jika sdh terjadi krisis kepercayaan dan krisis moral,mana mungkin orang bisa percaya.",krisis percaya krisis moral percaya,0.0,8.0,-8.0,3.0,2.0,Netral,Netral
czY6MUhd1X0,Jokowi terjebak ni😂😂...harus membuktikan ijasahnya😂😂 karena ini pencemaran😂,jokowi jebak nih bukti ijasahnya cemar,-8.0,0.0,-8.0,0.0,2.0,Negatif,Negatif
czY6MUhd1X0,"TERMUL MELAWAK TERUS 👉 MEMPER Bodoh PUBLIK :
BAGAIMANA dengan :
1. Daftar Ulang ?
2. RKS dan mbayar UKT
3. Dosen dan Materi Kuliah
4. Tugas  MATA KULIAH
     dan KKL
5.  KKN : lokasi, waktu, laporan KKN ( data fakta)
6. Skripsi : Dosen Pembimbing ? Judul, Ujian Skripsi, Seminar ?
7. Ujian Akhir 
8. Nilai TIAP SEMESTER
9. WISUDA, data , fakta dll
10 Ijazah , Dekan, Rektor.
     Data , fakta .
Jika JIKOWI bisa menjawab semua dan dlm pelaksanaan saat di masih kuliah , dosen ybs DTG ya Asli dan jika TIDAK BISA 👉 Ya mesthi bohong.
Krn dokonfrontir dg kegiatan , saat SMA dst saja  Trobel dan SESAR artinya tidak nyambung.",termul lawak memper bodoh publik daftar ulang rks mbayar ukt dosen materi kuliah tugas kuliah kkl kkn lokasi waktu lapor kkn data fakta skripsi dosen bimbing judul uji skripsi seminar uji nilai semester wisuda data fakta dll ijazah dekan rektor data fakta jikowi laksana kuliah dosen ybs asli mesthi bohong dokonfrontir giat dst trobel sesar sambung,-26.0,13.0,-39.0,6.0,14.0,Negatif,Negatif
czY6MUhd1X0,Saya rakyat indonesia berhak melihat ijazah jokowi,rakyat indonesia hak ijazah jokowi,0.0,0.0,0.0,0.0,0.0,Netral,Netral
czY6MUhd1X0,Pasti itu kalo orang jujur itu dapat tempat yang layak jadi orang yang tertinggi derajatnya,kalo jujur layak tinggi derajat,-3.0,5.0,-8.0,1.0,3.0,Negatif,Negatif
czY6MUhd1X0,"Makin sulit dan rumit, makin jelas palsunya",sulit rumit palsu,-5.0,0.0,-5.0,0.0,1.0,Negatif,Negatif
czY6MUhd1X0,Kami siapp berdemo kumpulkan masa untuk membela kebenaran,siapp demo kumpul bela benar,-7.0,0.0,-7.0,0.0,2.0,Negatif,Negatif
czY6MUhd1X0,Sehat selalu bapak jokowi semoga di jauhkan dari iri dengki,sehat jokowi moga jauh iri dengki,-14.0,1.0,-15.0,1.0,4.0,Negatif,Negatif
